event_id,timestamp_utc,source,event_type,severity,confidence,user,host_or_asset,src_ip,dest_ip,dest_domain,action,outcome,message,entity,is_external_src_ip
EVT-00001,2026-01-19T16:02:21Z,EmailGateway,URL.Rewrite,Informational,0.51,v.ali,DB-109,192.168.249.40,10.29.31.192,gmail.com,Inbound,Delivered,Security-relevant event observed.,user,0
EVT-00002,2026-01-19T16:06:40Z,Firewall,Connection.Denied,Informational,0.99,i.clark,CorpNet,192.168.15.24,192.0.2.136,,Network,Blocked,Connection denied by firewall policy.,user,0
EVT-00003,2026-01-19T16:13:49Z,VPN,VPN.NewDevice,High,0.49,s.nguyen,MAIL-093,172.20.222.46,,,Auth,Success,Security-relevant event observed.,user,0
EVT-00004,2026-01-19T16:14:56Z,Okta,Login.Success,Low,0.57,k.brown,AWS,10.78.255.239,,,Auth,Success,User authenticated successfully.,user,0
EVT-00005,2026-01-19T16:15:27Z,O365,File.Download,Informational,0.7,e.wilson,AWS,192.0.2.75,,,Access,Success,Security-relevant event observed.,user,1
EVT-00006,2026-01-19T16:22:15Z,AzureAD,Signin.Failed,Low,0.78,r.kim,CorpNet,192.168.111.120,,,Auth,Failure,Cloud sign-in failed.,user,0
EVT-00007,2026-01-19T16:31:42Z,DNS,TXT.Query,Low,0.23,t.jones,DC-033,192.0.2.7,,jira.corp.local,Query,Resolved,Security-relevant event observed.,user,1
EVT-00008,2026-01-19T16:32:03Z,Proxy,Upload,Low,0.5,e.wilson,LAP-068,192.0.2.161,198.51.100.128,slack.com,GET,Allowed,Upload via web proxy.,user,1
EVT-00009,2026-01-19T16:42:21Z,DNS,DGA.Suspected,Informational,0.57,k.brown,WS-191,172.27.10.87,,okta.com,Query,Resolved,Security-relevant event observed.,user,0
EVT-00010,2026-01-19T16:45:46Z,Proxy,Download,Medium,0.58,g.thomas,MAIL-140,10.97.146.92,198.51.100.222,office.com,GET,Allowed,File downloaded via web proxy.,user,0
EVT-00011,2026-01-19T16:48:25Z,Proxy,Download,Informational,0.26,t.jones,DC-179,10.69.32.184,203.0.113.10,intranet.corp.local,POST,Allowed,File downloaded via web proxy.,user,0
EVT-00012,2026-01-19T16:48:44Z,Proxy,Upload,Low,0.66,e.wilson,VDI-069,10.49.43.172,203.0.113.207,microsoft.com,GET,Allowed,Upload via web proxy.,user,0
EVT-00013,2026-01-19T16:48:48Z,CloudTrail,IAM.PolicyChange,Informational,0.56,a.chen,O365,192.168.84.239,,,Cloud,Success,Security-relevant event observed.,user,0
EVT-00014,2026-01-19T16:49:36Z,Firewall,C2.Connection,Informational,0.34,m.patel,AWS,10.70.130.75,203.0.113.31,,Network,Blocked,Security-relevant event observed.,user,0
EVT-00015,2026-01-19T16:56:59Z,AzureAD,ImpossibleTravel,High,0.83,b.harris,AWS,192.0.2.218,10.82.139.116,,Auth,Success,Security-relevant event observed.,user,1
